Academy ID,Academy Name,Slug,Latitude,Longitude,Description,Sport,Address,City,State,Contact Number,Google Maps Link,Academy Image,Coach Name,Coach Sport,Coach Experience,Coach Academy,Fees,Facilities,Batch Timings,Age Groups,Gender,Batch Capacity,Certifications,Rating,Reviews,Verified,Social Links
edc469a3-732a-41af-a058-00212043e2c5,Dynamic Sports Academy Tirupati 1,dynamic-sports-academy-tirupati-1,13.59327,79.374558,Professional Cricket coaching academy offering structured training programs.,Cricket,"Plot 904, Champions Street, Tirupati",Tirupati,Andhra Pradesh,+919995941861,"https://maps.google.com/?q=13.59327,79.374558",https://picsum.photos/seed/dynamic-sports-academy-tirupati-1/800/600,Ravi Choudhary,Cricket,14 Years,Dynamic Sports Academy Tirupati 1,₹4705/month,"Gym, Practice Pitch, Bowling Machine, Turf Nets",5:30 AM - 7:30 AM,18+,Girls,52,"BCCI Level 1, BCCI Level 2",3.7,471,True,"{""instagram"": ""https://instagram.com/dynamic-sports-academy-tirupati-1"", ""facebook"": ""https://facebook.com/dynamic-sports-academy-tirupati-1"", ""youtube"": ""https://youtube.com/@dynamic-sports-academy-tirupati-1""}"
7814c4ce-da35-4c52-a004-fd8c0870ee19,Master Performance Academy Vijayawada 2,master-performance-academy-vijayawada-2,16.498865,80.655412,Professional Tennis coaching academy offering structured training programs.,Tennis,"Plot 438, Sports Hub, Vijayawada",Vijayawada,Andhra Pradesh,+919112431033,"https://maps.google.com/?q=16.498865,80.655412",https://picsum.photos/seed/master-performance-academy-vijayawada-2/800/600,Arjun Kumar,Tennis,18 Years,Master Performance Academy Vijayawada 2,₹7940/month,"Clay Court, Ball Machine, Fitness Center, Hard Court",6:00 AM - 8:00 AM,18+,Boys,51,AITA Certified Coach,3.8,313,False,"{""instagram"": ""https://instagram.com/master-performance-academy-vijayawada-2"", ""facebook"": ""https://facebook.com/master-performance-academy-vijayawada-2"", ""youtube"": ""https://youtube.com/@master-performance-academy-vijayawada-2""}"
84655643-ed0b-44ae-a1b2-7a2609a6ae1d,Star Sports Institute Vijayawada 3,star-sports-institute-vijayawada-3,16.51515,80.607371,Professional Tennis coaching academy offering structured training programs.,Tennis,"Plot 184, Sports Hub, Vijayawada",Vijayawada,Andhra Pradesh,+916258913275,"https://maps.google.com/?q=16.51515,80.607371",https://picsum.photos/seed/star-sports-institute-vijayawada-3/800/600,Aman Mishra,Tennis,15 Years,Star Sports Institute Vijayawada 3,₹9797/month,"Fitness Center, Ball Machine, Hard Court, Clay Court",5:30 AM - 7:30 AM,18+,Mixed,36,AITA Certified Coach,4.8,457,False,"{""instagram"": ""https://instagram.com/star-sports-institute-vijayawada-3"", ""facebook"": ""https://facebook.com/star-sports-institute-vijayawada-3"", ""youtube"": ""https://youtube.com/@star-sports-institute-vijayawada-3""}"
ee1a869c-d072-46e3-9464-5d2f5609b36d,Star Athletic Center Vijayawada 4,star-athletic-center-vijayawada-4,16.490598,80.632221,Professional Athletics coaching academy offering structured training programs.,Athletics,"Plot 122, Athletic Colony, Vijayawada",Vijayawada,Andhra Pradesh,+917892833391,"https://maps.google.com/?q=16.490598,80.632221",https://picsum.photos/seed/star-athletic-center-vijayawada-4/800/600,Naveen Joshi,Athletics,21 Years,Star Athletic Center Vijayawada 4,₹3157/month,"Recovery Zone, Fitness Center, Running Track, Gym",5:30 AM - 7:30 AM,18+,Mixed,71,Athletics Federation Certified,4.7,418,True,"{""instagram"": ""https://instagram.com/star-athletic-center-vijayawada-4"", ""facebook"": ""https://facebook.com/star-athletic-center-vijayawada-4"", ""youtube"": ""https://youtube.com/@star-athletic-center-vijayawada-4""}"
04272711-4343-4178-bac3-fef6bb362dca,Pro Performance Academy Vijayawada 5,pro-performance-academy-vijayawada-5,16.555872,80.663674,Professional Basketball coaching academy offering structured training programs.,Basketball,"Plot 715, Ring Road, Vijayawada",Vijayawada,Andhra Pradesh,+916379686689,"https://maps.google.com/?q=16.555872,80.663674",https://picsum.photos/seed/pro-performance-academy-vijayawada-5/800/600,Rahul Pillai,Basketball,20 Years,Pro Performance Academy Vijayawada 5,₹2531/month,"Indoor Court, Fitness Center, Locker Rooms, Outdoor Court",4:00 PM - 6:00 PM,10-15,Girls,92,Basketball Federation Certified,3.9,434,True,"{""instagram"": ""https://instagram.com/pro-performance-academy-vijayawada-5"", ""facebook"": ""https://facebook.com/pro-performance-academy-vijayawada-5"", ""youtube"": ""https://youtube.com/@pro-performance-academy-vijayawada-5""}"
6306a1b6-e539-4b5f-b982-f2bc7eee1dce,Champion Athletic Center Tirupati 6,champion-athletic-center-tirupati-6,13.629034,79.412688,Professional Football coaching academy offering structured training programs.,Football,"Plot 582, Victory Avenue, Tirupati",Tirupati,Andhra Pradesh,+916060131410,"https://maps.google.com/?q=13.629034,79.412688",https://picsum.photos/seed/champion-athletic-center-tirupati-6/800/600,Deepak Mishra,Football,4 Years,Champion Athletic Center Tirupati 6,₹6517/month,"Flood Lights, Locker Rooms, Natural Grass Ground, Training Cones",4:00 PM - 6:00 PM,18+,Mixed,61,"AIFF D License, AIFF C License",4.1,413,True,"{""instagram"": ""https://instagram.com/champion-athletic-center-tirupati-6"", ""facebook"": ""https://facebook.com/champion-athletic-center-tirupati-6"", ""youtube"": ""https://youtube.com/@champion-athletic-center-tirupati-6""}"
ffae9349-79ae-465c-98a5-23ad5098e9e9,Master Sports Institute Visakhapatnam 7,master-sports-institute-visakhapatnam-7,17.669952,83.26704,Professional Cricket coaching academy offering structured training programs.,Cricket,"Plot 150, Sports Nagar, Visakhapatnam",Visakhapatnam,Andhra Pradesh,+916664192015,"https://maps.google.com/?q=17.669952,83.26704",https://picsum.photos/seed/master-sports-institute-visakhapatnam-7/800/600,Suresh Sharma,Cricket,18 Years,Master Sports Institute Visakhapatnam 7,₹5395/month,"Video Analysis, Practice Pitch, Bowling Machine, Turf Nets",5:00 PM - 7:00 PM,10-15,Girls,53,"BCCI Level 1, BCCI Level 2",4.1,234,False,"{""instagram"": ""https://instagram.com/master-sports-institute-visakhapatnam-7"", ""facebook"": ""https://facebook.com/master-sports-institute-visakhapatnam-7"", ""youtube"": ""https://youtube.com/@master-sports-institute-visakhapatnam-7""}"
88982c73-9de1-4a45-851e-1b0e6944f86d,Prime Sports Academy Kurnool 8,prime-sports-academy-kurnool-8,15.866618,78.037717,Professional Athletics coaching academy offering structured training programs.,Athletics,"Plot 444, Stadium Road, Kurnool",Kurnool,Andhra Pradesh,+916669752922,"https://maps.google.com/?q=15.866618,78.037717",https://picsum.photos/seed/prime-sports-academy-kurnool-8/800/600,Aman Kumar,Athletics,12 Years,Prime Sports Academy Kurnool 8,₹3309/month,"Recovery Zone, Gym, Fitness Center, Running Track",6:00 PM - 8:00 PM,5-10,Mixed,61,Athletics Federation Certified,3.6,339,False,"{""instagram"": ""https://instagram.com/prime-sports-academy-kurnool-8"", ""facebook"": ""https://facebook.com/prime-sports-academy-kurnool-8"", ""youtube"": ""https://youtube.com/@prime-sports-academy-kurnool-8""}"
025df731-e121-4218-be84-26b0ede3b5bb,Legend Training Center Tirupati 9,legend-training-center-tirupati-9,13.613676,79.398956,Professional Basketball coaching academy offering structured training programs.,Basketball,"Plot 164, Main Road, Tirupati",Tirupati,Andhra Pradesh,+916167587454,"https://maps.google.com/?q=13.613676,79.398956",https://picsum.photos/seed/legend-training-center-tirupati-9/800/600,Ajay Joshi,Basketball,20 Years,Legend Training Center Tirupati 9,₹6014/month,"Fitness Center, Locker Rooms, Outdoor Court, Indoor Court",5:00 PM - 7:00 PM,15-18,Mixed,31,Basketball Federation Certified,3.6,403,True,"{""instagram"": ""https://instagram.com/legend-training-center-tirupati-9"", ""facebook"": ""https://facebook.com/legend-training-center-tirupati-9"", ""youtube"": ""https://youtube.com/@legend-training-center-tirupati-9""}"
56fc3ade-f1bb-4a14-a5cb-238f7b21a3a0,Pro Sports Club Visakhapatnam 10,pro-sports-club-visakhapatnam-10,17.721627,83.198162,Professional Athletics coaching academy offering structured training programs.,Athletics,"Plot 447, Ring Road, Visakhapatnam",Visakhapatnam,Andhra Pradesh,+919678269287,"https://maps.google.com/?q=17.721627,83.198162",https://picsum.photos/seed/pro-sports-club-visakhapatnam-10/800/600,Sanjay Singh,Athletics,16 Years,Pro Sports Club Visakhapatnam 10,₹1863/month,"Recovery Zone, Fitness Center, Running Track, Gym",5:00 PM - 7:00 PM,15-18,Girls,53,Athletics Federation Certified,4.6,347,False,"{""instagram"": ""https://instagram.com/pro-sports-club-visakhapatnam-10"", ""facebook"": ""https://facebook.com/pro-sports-club-visakhapatnam-10"", ""youtube"": ""https://youtube.com/@pro-sports-club-visakhapatnam-10""}"
